ticket_id,department,category,priority,status,created_at,resolved_at
INC-0001,Operations,Device,Medium,Resolved,2026-09-05T12:22:29Z,2026-09-06T04:45:17Z
INC-0002,Finance,Business application,Low,Resolved,2026-08-23T04:41:21Z,2026-08-25T20:31:45Z
INC-0003,Sales,Device,Low,Resolved,2026-09-02T03:13:45Z,2026-09-06T23:19:45Z
INC-0004,Sales,Business application,High,Resolved,2026-08-21T22:34:54Z,2026-08-22T04:25:18Z
INC-0005,People & Culture,Access,Low,Resolved,2026-08-19T11:03:01Z,2026-08-22T14:22:13Z
INC-0006,People & Culture,Business application,Medium,Resolved,2026-08-29T02:44:21Z,2026-08-30T12:47:57Z
INC-0007,Operations,Access,Medium,In Progress,2026-09-13T19:13:31Z,
INC-0008,People & Culture,Network,Low,Resolved,2026-09-07T09:37:09Z,2026-09-08T05:31:09Z
INC-0009,Operations,Access,Low,Resolved,2026-09-08T03:07:25Z,2026-09-09T21:38:37Z
INC-0010,People & Culture,Reporting,Medium,Resolved,2026-08-21T11:07:29Z,2026-08-22T05:26:41Z
INC-0011,Finance,Access,Low,Resolved,2026-08-22T10:40:34Z,2026-08-24T15:42:58Z
INC-0012,ICT,Access,High,Resolved,2026-09-10T10:28:33Z,2026-09-10T12:31:33Z
INC-0013,Sales,Business application,Low,In Progress,2026-09-08T11:47:46Z,
INC-0014,Sales,Network,Medium,Open,2026-09-12T17:02:49Z,
INC-0015,Operations,Network,Low,Resolved,2026-08-30T04:12:00Z,2026-09-03T05:47:24Z
INC-0016,Sales,Device,Low,Resolved,2026-08-19T09:25:05Z,2026-08-23T03:05:17Z
INC-0017,People & Culture,Network,Medium,Resolved,2026-09-09T15:01:52Z,2026-09-10T19:39:40Z
INC-0018,People & Culture,Access,Medium,Resolved,2026-08-31T14:09:15Z,2026-09-02T01:52:27Z
INC-0019,People & Culture,Device,Medium,Resolved,2026-09-11T04:55:04Z,2026-09-12T23:04:04Z
INC-0020,ICT,Access,Low,Resolved,2026-08-21T04:33:23Z,2026-08-22T19:33:59Z
INC-0021,People & Culture,Business application,Low,In Progress,2026-09-12T18:32:34Z,
INC-0022,People & Culture,Device,Medium,In Progress,2026-09-11T17:37:06Z,
INC-0023,Operations,Device,Low,Open,2026-09-08T20:20:16Z,
INC-0024,Sales,Network,Medium,Resolved,2026-09-05T13:19:22Z,2026-09-06T08:12:46Z
INC-0025,Finance,Network,Medium,Resolved,2026-09-10T05:09:50Z,2026-09-11T11:45:50Z
INC-0026,Finance,Network,Medium,Resolved,2026-08-27T16:34:20Z,2026-08-29T06:38:32Z
INC-0027,People & Culture,Access,Low,Open,2026-09-12T05:40:23Z,
INC-0028,Operations,Device,High,Resolved,2026-08-24T16:15:29Z,2026-08-25T00:40:05Z
INC-0029,Sales,Network,Medium,Resolved,2026-08-24T12:00:30Z,2026-08-25T08:13:42Z
INC-0030,People & Culture,Device,Medium,Open,2026-09-12T08:17:52Z,
INC-0031,Sales,Device,Low,Resolved,2026-08-25T11:31:42Z,2026-08-28T05:39:30Z
INC-0032,ICT,Device,Medium,Resolved,2026-09-01T03:20:50Z,2026-09-02T06:41:50Z
INC-0033,Sales,Access,Medium,Resolved,2026-09-06T23:18:26Z,2026-09-08T00:11:14Z
INC-0034,People & Culture,Access,High,In Progress,2026-09-13T17:29:22Z,
INC-0035,People & Culture,Reporting,Low,Resolved,2026-08-29T20:37:51Z,2026-09-02T14:48:39Z
INC-0036,Finance,Reporting,Medium,Resolved,2026-09-03T00:18:46Z,2026-09-04T19:11:34Z
INC-0037,Finance,Reporting,Medium,Resolved,2026-09-11T21:23:29Z,2026-09-12T03:48:05Z
INC-0038,Sales,Network,Medium,Open,2026-09-12T22:16:30Z,
INC-0039,People & Culture,Access,Low,Resolved,2026-09-03T19:22:49Z,2026-09-08T17:40:49Z
INC-0040,Operations,Access,Low,In Progress,2026-09-08T06:32:32Z,
INC-0041,ICT,Device,Medium,Resolved,2026-08-22T02:38:46Z,2026-08-23T02:12:22Z
INC-0042,ICT,Device,Low,Resolved,2026-08-29T21:42:03Z,2026-08-30T21:20:27Z
INC-0043,People & Culture,Network,Medium,In Progress,2026-09-12T06:20:37Z,
INC-0044,Sales,Access,Critical,Open,2026-09-13T17:57:19Z,
INC-0045,People & Culture,Network,Low,In Progress,2026-09-08T22:23:44Z,
INC-0046,ICT,Network,Medium,Resolved,2026-08-29T08:06:56Z,2026-08-29T23:45:20Z
INC-0047,People & Culture,Reporting,Critical,Open,2026-09-13T20:53:10Z,
INC-0048,Sales,Access,Low,Open,2026-09-11T03:43:57Z,
INC-0049,Finance,Reporting,High,Open,2026-09-13T13:53:12Z,
INC-0050,Operations,Network,High,Resolved,2026-08-30T14:30:50Z,2026-08-30T18:37:26Z
INC-0051,People & Culture,Device,Low,Resolved,2026-09-06T10:56:56Z,2026-09-11T14:11:20Z
INC-0052,People & Culture,Access,Medium,Open,2026-09-12T13:24:32Z,
INC-0053,ICT,Device,Medium,Resolved,2026-08-24T19:14:54Z,2026-08-25T07:25:42Z
INC-0054,Sales,Reporting,Low,Resolved,2026-08-24T01:26:31Z,2026-08-29T08:45:43Z
INC-0055,Operations,Reporting,Medium,Resolved,2026-09-02T05:54:08Z,2026-09-04T00:06:08Z
INC-0056,Sales,Business application,Medium,Resolved,2026-08-26T12:01:34Z,2026-08-27T06:50:46Z
INC-0057,ICT,Access,Medium,Resolved,2026-08-24T12:18:50Z,2026-08-25T00:36:50Z
INC-0058,ICT,Business application,Critical,Resolved,2026-08-31T12:21:19Z,2026-08-31T16:42:19Z
INC-0059,Operations,Access,Low,Resolved,2026-08-22T15:15:11Z,2026-08-27T10:01:59Z
INC-0060,People & Culture,Access,Medium,Resolved,2026-08-23T12:25:53Z,2026-08-23T16:52:17Z
INC-0061,Sales,Business application,High,Open,2026-09-13T09:22:05Z,
INC-0062,Sales,Business application,Medium,Resolved,2026-09-08T04:42:39Z,2026-09-09T05:13:51Z
INC-0063,People & Culture,Access,High,In Progress,2026-09-13T08:47:54Z,
INC-0064,ICT,Reporting,Medium,Open,2026-09-12T09:59:46Z,
INC-0065,People & Culture,Reporting,Medium,In Progress,2026-09-13T03:30:26Z,
INC-0066,Operations,Network,Medium,Resolved,2026-08-27T09:39:12Z,2026-08-28T13:39:48Z
INC-0067,ICT,Reporting,Medium,In Progress,2026-09-12T22:08:45Z,
INC-0068,Operations,Access,Medium,Resolved,2026-08-24T01:52:59Z,2026-08-24T14:21:11Z
INC-0069,Sales,Reporting,Medium,Resolved,2026-09-02T19:24:40Z,2026-09-03T08:12:40Z
INC-0070,People & Culture,Reporting,High,Resolved,2026-08-30T08:29:51Z,2026-08-30T20:40:03Z
INC-0071,ICT,Device,Low,Open,2026-09-13T14:43:06Z,
INC-0072,ICT,Business application,High,In Progress,2026-09-13T07:41:57Z,
INC-0073,Sales,Device,Low,Resolved,2026-09-10T07:15:32Z,2026-09-12T01:04:44Z
INC-0074,People & Culture,Reporting,Medium,Resolved,2026-08-28T02:36:32Z,2026-08-28T07:23:20Z
INC-0075,People & Culture,Access,Critical,Resolved,2026-08-27T11:22:38Z,2026-08-27T15:40:38Z
INC-0076,ICT,Device,High,Open,2026-09-13T08:50:28Z,
INC-0077,People & Culture,Reporting,Medium,Open,2026-09-11T18:13:14Z,
INC-0078,Operations,Device,Medium,Open,2026-09-13T00:12:51Z,
INC-0079,Operations,Network,Medium,Resolved,2026-09-05T07:12:16Z,2026-09-06T07:51:52Z
INC-0080,Finance,Device,Medium,Open,2026-09-13T09:56:26Z,
INC-0081,ICT,Device,Medium,Resolved,2026-08-22T00:33:10Z,2026-08-22T05:09:46Z
INC-0082,ICT,Reporting,Low,Resolved,2026-09-01T00:05:19Z,2026-09-05T02:37:07Z
INC-0083,Sales,Network,Medium,Resolved,2026-08-23T02:43:03Z,2026-08-24T08:46:03Z
INC-0084,Sales,Device,Low,In Progress,2026-09-09T05:00:13Z,
INC-0085,Sales,Network,Medium,Resolved,2026-08-28T07:31:56Z,2026-08-29T03:15:08Z
INC-0086,Sales,Access,Medium,Resolved,2026-08-24T18:09:56Z,2026-08-26T12:30:56Z
INC-0087,Finance,Device,Medium,Resolved,2026-09-10T05:01:56Z,2026-09-11T08:40:20Z
INC-0088,Operations,Network,Medium,Resolved,2026-08-27T13:15:15Z,2026-08-28T19:19:27Z
INC-0089,Operations,Reporting,Low,Open,2026-09-09T16:01:44Z,
INC-0090,Sales,Device,Low,Resolved,2026-09-08T22:44:11Z,2026-09-11T00:29:11Z
INC-0091,ICT,Access,Medium,In Progress,2026-09-11T15:24:25Z,
INC-0092,Sales,Business application,Medium,In Progress,2026-09-11T22:38:49Z,
INC-0093,Sales,Reporting,Medium,Resolved,2026-09-08T12:50:20Z,2026-09-09T15:53:56Z
INC-0094,Operations,Device,High,Resolved,2026-08-22T20:50:31Z,2026-08-23T02:44:31Z
INC-0095,Finance,Business application,Medium,Resolved,2026-09-06T13:09:35Z,2026-09-07T04:46:47Z
INC-0096,People & Culture,Access,High,Resolved,2026-09-05T18:04:05Z,2026-09-06T06:49:41Z
INC-0097,Sales,Business application,Medium,Resolved,2026-09-13T01:41:21Z,2026-09-13T09:08:21Z
INC-0098,Finance,Business application,Low,Open,2026-09-08T11:34:13Z,
INC-0099,Sales,Network,Low,In Progress,2026-09-09T05:35:54Z,
INC-0100,ICT,Network,Medium,Resolved,2026-08-30T22:36:41Z,2026-08-31T16:02:29Z
INC-0101,Finance,Device,High,Resolved,2026-09-01T18:20:15Z,2026-09-01T21:46:03Z
INC-0102,Finance,Access,High,In Progress,2026-09-13T05:23:23Z,
INC-0103,Finance,Access,High,Open,2026-09-13T19:36:21Z,
INC-0104,Sales,Business application,Low,Resolved,2026-08-28T13:17:45Z,2026-09-02T19:17:09Z
INC-0105,People & Culture,Network,High,Open,2026-09-13T13:36:48Z,
INC-0106,Operations,Device,High,Resolved,2026-08-22T07:35:08Z,2026-08-22T10:05:08Z
INC-0107,People & Culture,Device,Medium,Resolved,2026-09-11T23:30:04Z,2026-09-12T15:15:40Z
INC-0108,Operations,Network,Medium,Resolved,2026-08-24T19:02:53Z,2026-08-26T09:40:05Z
INC-0109,Finance,Access,Medium,Resolved,2026-09-09T11:37:10Z,2026-09-11T00:57:34Z
INC-0110,People & Culture,Network,Medium,Resolved,2026-09-07T01:23:41Z,2026-09-08T12:05:05Z
INC-0111,Finance,Network,Low,Resolved,2026-08-30T10:32:18Z,2026-09-04T00:47:54Z
INC-0112,Finance,Business application,Medium,In Progress,2026-09-12T10:56:09Z,
INC-0113,Finance,Reporting,Medium,Resolved,2026-09-10T07:42:15Z,2026-09-11T00:59:39Z
INC-0114,Finance,Network,Medium,In Progress,2026-09-12T23:42:51Z,
INC-0115,Finance,Device,High,Resolved,2026-09-01T13:30:41Z,2026-09-02T02:48:41Z
INC-0116,ICT,Business application,Low,Resolved,2026-08-20T07:04:20Z,2026-08-22T14:15:44Z
INC-0117,Finance,Reporting,Medium,Open,2026-09-13T21:05:26Z,
INC-0118,ICT,Device,Critical,Resolved,2026-09-07T01:10:31Z,2026-09-07T05:25:31Z
INC-0119,People & Culture,Reporting,Medium,Resolved,2026-08-23T02:26:04Z,2026-08-24T05:48:52Z
INC-0120,People & Culture,Network,Critical,Resolved,2026-09-05T08:57:03Z,2026-09-05T11:21:03Z
INC-0121,Sales,Network,Medium,Resolved,2026-09-03T12:05:46Z,2026-09-04T20:44:10Z
INC-0122,Finance,Access,Medium,Resolved,2026-08-25T05:12:11Z,2026-08-25T11:10:23Z
INC-0123,ICT,Network,Low,Resolved,2026-08-29T09:55:47Z,2026-09-03T19:27:35Z
INC-0124,People & Culture,Business application,High,In Progress,2026-09-13T16:38:00Z,
INC-0125,Operations,Reporting,Medium,Resolved,2026-09-06T01:55:03Z,2026-09-07T06:20:51Z
INC-0126,ICT,Device,High,Resolved,2026-08-29T06:46:21Z,2026-08-29T13:16:57Z
INC-0127,Sales,Access,Low,Resolved,2026-08-30T10:34:26Z,2026-09-03T11:36:14Z
INC-0128,Operations,Reporting,Critical,Open,2026-09-13T17:07:26Z,
INC-0129,Sales,Network,Medium,In Progress,2026-09-12T01:01:32Z,
INC-0130,ICT,Device,Medium,Resolved,2026-08-23T23:27:59Z,2026-08-25T16:54:59Z
INC-0131,Sales,Reporting,Medium,Resolved,2026-09-12T22:07:24Z,2026-09-13T18:21:48Z
INC-0132,Sales,Network,High,Resolved,2026-08-28T09:10:58Z,2026-08-28T10:54:10Z
INC-0133,ICT,Reporting,Medium,Resolved,2026-09-03T06:31:42Z,2026-09-04T15:35:18Z
INC-0134,Finance,Business application,Medium,In Progress,2026-09-13T08:38:39Z,
INC-0135,Operations,Reporting,Medium,Resolved,2026-09-08T20:47:51Z,2026-09-09T22:06:27Z
INC-0136,Finance,Network,High,Resolved,2026-08-30T02:55:40Z,2026-08-30T08:23:16Z
INC-0137,Finance,Access,Medium,Resolved,2026-09-07T09:30:29Z,2026-09-07T17:05:17Z
INC-0138,Operations,Access,Medium,Resolved,2026-08-22T08:11:38Z,2026-08-23T21:39:50Z
INC-0139,People & Culture,Network,Medium,Resolved,2026-08-21T09:26:24Z,2026-08-22T17:28:48Z
INC-0140,ICT,Business application,High,Resolved,2026-08-27T03:13:42Z,2026-08-27T07:27:30Z
INC-0141,ICT,Network,Medium,Resolved,2026-09-06T22:05:46Z,2026-09-08T03:26:10Z
INC-0142,People & Culture,Device,Medium,Resolved,2026-09-02T07:27:00Z,2026-09-02T16:15:00Z
INC-0143,People & Culture,Reporting,Low,Resolved,2026-08-19T09:37:56Z,2026-08-23T10:51:44Z
INC-0144,Sales,Reporting,Low,Resolved,2026-08-29T16:57:26Z,2026-09-01T00:05:50Z
INC-0145,Finance,Network,Medium,Resolved,2026-09-11T22:52:56Z,2026-09-12T22:50:32Z
INC-0146,Operations,Business application,High,Resolved,2026-09-08T23:46:26Z,2026-09-09T01:29:38Z
INC-0147,Operations,Reporting,Medium,In Progress,2026-09-11T18:10:56Z,
INC-0148,ICT,Reporting,Medium,In Progress,2026-09-12T10:12:13Z,
INC-0149,Operations,Device,High,Resolved,2026-09-09T17:54:41Z,2026-09-09T22:19:17Z
INC-0150,Finance,Device,Medium,Resolved,2026-08-31T04:40:55Z,2026-08-31T08:16:55Z
INC-0151,ICT,Business application,High,In Progress,2026-09-13T16:37:07Z,
INC-0152,ICT,Access,Critical,In Progress,2026-09-13T18:27:23Z,
INC-0153,Operations,Access,High,Open,2026-09-13T05:44:06Z,
INC-0154,Finance,Network,High,Resolved,2026-09-09T13:38:49Z,2026-09-09T20:59:13Z
INC-0155,Finance,Device,Medium,Resolved,2026-08-28T21:58:37Z,2026-08-29T14:04:01Z
INC-0156,Finance,Device,High,Resolved,2026-09-12T15:46:48Z,2026-09-12T20:21:36Z
INC-0157,Sales,Reporting,Medium,Open,2026-09-12T20:23:40Z,
INC-0158,ICT,Reporting,Medium,Resolved,2026-08-21T17:06:18Z,2026-08-23T10:10:30Z
INC-0159,Operations,Business application,Medium,Resolved,2026-09-12T08:48:11Z,2026-09-12T12:41:35Z
INC-0160,Finance,Network,Low,In Progress,2026-09-12T18:54:17Z,
INC-0161,ICT,Network,Low,Resolved,2026-09-04T00:05:31Z,2026-09-07T08:07:55Z
INC-0162,People & Culture,Device,High,Open,2026-09-13T21:51:31Z,
INC-0163,Operations,Reporting,High,Resolved,2026-09-10T19:13:53Z,2026-09-11T04:09:41Z
INC-0164,People & Culture,Access,Medium,Resolved,2026-08-26T22:52:04Z,2026-08-27T07:53:52Z
INC-0165,Sales,Reporting,Critical,Resolved,2026-09-07T06:48:17Z,2026-09-07T11:50:41Z
INC-0166,Sales,Device,Low,Open,2026-09-12T13:43:28Z,
INC-0167,ICT,Business application,Low,Open,2026-09-12T08:14:15Z,
INC-0168,ICT,Access,Medium,Resolved,2026-08-30T11:37:51Z,2026-08-30T20:52:15Z
INC-0169,Sales,Reporting,Low,Resolved,2026-08-20T04:20:18Z,2026-08-23T17:59:54Z
INC-0170,Sales,Access,High,Resolved,2026-09-10T06:54:53Z,2026-09-10T13:22:29Z
INC-0171,ICT,Device,Medium,Resolved,2026-08-25T16:54:57Z,2026-08-26T18:06:57Z
INC-0172,ICT,Reporting,Medium,Resolved,2026-09-10T04:14:54Z,2026-09-11T04:51:30Z
INC-0173,Operations,Business application,Low,Resolved,2026-08-22T08:27:24Z,2026-08-24T22:22:00Z
INC-0174,People & Culture,Access,Low,In Progress,2026-09-12T13:42:25Z,
INC-0175,Sales,Access,Medium,Resolved,2026-09-10T17:22:25Z,2026-09-11T04:45:49Z
INC-0176,Finance,Device,Low,In Progress,2026-09-10T04:18:28Z,
INC-0177,ICT,Reporting,Medium,Open,2026-09-13T06:33:27Z,
INC-0178,Sales,Access,Critical,Resolved,2026-08-22T11:40:16Z,2026-08-22T12:35:28Z
INC-0179,ICT,Business application,High,In Progress,2026-09-13T14:40:50Z,
INC-0180,Operations,Access,Medium,In Progress,2026-09-13T04:35:02Z,
INC-0181,Sales,Access,Low,Resolved,2026-09-09T13:54:29Z,2026-09-13T17:59:17Z
INC-0182,Finance,Business application,Medium,Resolved,2026-09-04T11:32:39Z,2026-09-05T01:13:27Z
INC-0183,Finance,Device,Medium,Resolved,2026-09-10T18:18:17Z,2026-09-12T07:36:17Z
INC-0184,People & Culture,Device,High,Resolved,2026-08-28T17:57:53Z,2026-08-29T05:17:41Z
INC-0185,Finance,Reporting,Low,Resolved,2026-08-24T00:37:06Z,2026-08-24T15:13:42Z
INC-0186,Finance,Network,Low,Resolved,2026-09-10T21:04:01Z,2026-09-11T14:51:25Z
INC-0187,Operations,Network,High,Resolved,2026-08-22T03:12:50Z,2026-08-22T13:30:14Z
INC-0188,Operations,Reporting,Critical,Resolved,2026-08-22T11:30:20Z,2026-08-22T16:43:32Z
INC-0189,People & Culture,Access,Low,In Progress,2026-09-11T10:24:33Z,
INC-0190,People & Culture,Business application,High,Open,2026-09-13T08:47:44Z,
INC-0191,Operations,Access,Low,Resolved,2026-09-10T07:00:11Z,2026-09-11T15:15:11Z
INC-0192,Operations,Access,High,Resolved,2026-08-27T14:17:13Z,2026-08-27T23:36:25Z
INC-0193,ICT,Business application,Medium,Resolved,2026-09-11T10:16:13Z,2026-09-11T23:57:01Z
INC-0194,Finance,Access,Medium,Resolved,2026-08-23T21:34:24Z,2026-08-25T01:42:12Z
INC-0195,Finance,Device,High,In Progress,2026-09-13T17:56:58Z,
INC-0196,People & Culture,Device,High,Resolved,2026-09-09T23:01:17Z,2026-09-10T02:55:53Z
INC-0197,Sales,Device,Medium,Resolved,2026-09-05T23:34:53Z,2026-09-07T12:36:05Z
INC-0198,Finance,Business application,Critical,Resolved,2026-08-27T10:48:14Z,2026-08-27T13:44:02Z
INC-0199,People & Culture,Network,Critical,Resolved,2026-09-03T06:45:40Z,2026-09-03T09:00:40Z
INC-0200,Finance,Reporting,Medium,Resolved,2026-09-03T04:21:56Z,2026-09-03T11:03:20Z
INC-0201,People & Culture,Access,High,Resolved,2026-09-04T00:31:29Z,2026-09-04T07:18:17Z
INC-0202,People & Culture,Network,Medium,Resolved,2026-08-26T01:25:34Z,2026-08-26T22:56:10Z
INC-0203,Finance,Business application,High,Open,2026-09-13T21:03:45Z,
INC-0204,Finance,Device,Low,Resolved,2026-09-07T19:47:30Z,2026-09-12T10:29:30Z
INC-0205,ICT,Network,Low,Resolved,2026-09-07T12:34:06Z,2026-09-08T14:19:42Z
INC-0206,Finance,Reporting,Low,Resolved,2026-09-07T15:37:48Z,2026-09-10T09:25:12Z
INC-0207,Finance,Access,Low,Open,2026-09-10T02:16:40Z,
