ticket_id,department,category,priority,status,created_at,resolved_at,created_on,sla_hours,elapsed_hours,resolution_hours,sla_state,is_open,snapshot_at
INC-0001,Operations,Device,Medium,Resolved,2026-09-05T12:22:29Z,2026-09-06T04:45:17Z,2026-09-05,24,16.38,16.38,Met,0,2026-09-14T00:00:00Z
INC-0002,Finance,Business application,Low,Resolved,2026-08-23T04:41:21Z,2026-08-25T20:31:45Z,2026-08-23,72,63.84,63.84,Met,0,2026-09-14T00:00:00Z
INC-0003,Sales,Device,Low,Resolved,2026-09-02T03:13:45Z,2026-09-06T23:19:45Z,2026-09-02,72,116.1,116.1,Breached,0,2026-09-14T00:00:00Z
INC-0004,Sales,Business application,High,Resolved,2026-08-21T22:34:54Z,2026-08-22T04:25:18Z,2026-08-21,8,5.84,5.84,Met,0,2026-09-14T00:00:00Z
INC-0005,People & Culture,Access,Low,Resolved,2026-08-19T11:03:01Z,2026-08-22T14:22:13Z,2026-08-19,72,75.32,75.32,Breached,0,2026-09-14T00:00:00Z
INC-0006,People & Culture,Business application,Medium,Resolved,2026-08-29T02:44:21Z,2026-08-30T12:47:57Z,2026-08-29,24,34.06,34.06,Breached,0,2026-09-14T00:00:00Z
INC-0007,Operations,Access,Medium,In Progress,2026-09-13T19:13:31Z,,2026-09-13,24,4.7747,,On track,1,2026-09-14T00:00:00Z
INC-0008,People & Culture,Network,Low,Resolved,2026-09-07T09:37:09Z,2026-09-08T05:31:09Z,2026-09-07,72,19.9,19.9,Met,0,2026-09-14T00:00:00Z
INC-0009,Operations,Access,Low,Resolved,2026-09-08T03:07:25Z,2026-09-09T21:38:37Z,2026-09-08,72,42.52,42.52,Met,0,2026-09-14T00:00:00Z
INC-0010,People & Culture,Reporting,Medium,Resolved,2026-08-21T11:07:29Z,2026-08-22T05:26:41Z,2026-08-21,24,18.32,18.32,Met,0,2026-09-14T00:00:00Z
INC-0011,Finance,Access,Low,Resolved,2026-08-22T10:40:34Z,2026-08-24T15:42:58Z,2026-08-22,72,53.04,53.04,Met,0,2026-09-14T00:00:00Z
INC-0012,ICT,Access,High,Resolved,2026-09-10T10:28:33Z,2026-09-10T12:31:33Z,2026-09-10,8,2.05,2.05,Met,0,2026-09-14T00:00:00Z
INC-0013,Sales,Business application,Low,In Progress,2026-09-08T11:47:46Z,,2026-09-08,72,132.2039,,Overdue,1,2026-09-14T00:00:00Z
INC-0014,Sales,Network,Medium,Open,2026-09-12T17:02:49Z,,2026-09-12,24,30.9531,,Overdue,1,2026-09-14T00:00:00Z
INC-0015,Operations,Network,Low,Resolved,2026-08-30T04:12:00Z,2026-09-03T05:47:24Z,2026-08-30,72,97.59,97.59,Breached,0,2026-09-14T00:00:00Z
INC-0016,Sales,Device,Low,Resolved,2026-08-19T09:25:05Z,2026-08-23T03:05:17Z,2026-08-19,72,89.67,89.67,Breached,0,2026-09-14T00:00:00Z
INC-0017,People & Culture,Network,Medium,Resolved,2026-09-09T15:01:52Z,2026-09-10T19:39:40Z,2026-09-09,24,28.63,28.63,Breached,0,2026-09-14T00:00:00Z
INC-0018,People & Culture,Access,Medium,Resolved,2026-08-31T14:09:15Z,2026-09-02T01:52:27Z,2026-08-31,24,35.72,35.72,Breached,0,2026-09-14T00:00:00Z
INC-0019,People & Culture,Device,Medium,Resolved,2026-09-11T04:55:04Z,2026-09-12T23:04:04Z,2026-09-11,24,42.15,42.15,Breached,0,2026-09-14T00:00:00Z
INC-0020,ICT,Access,Low,Resolved,2026-08-21T04:33:23Z,2026-08-22T19:33:59Z,2026-08-21,72,39.01,39.01,Met,0,2026-09-14T00:00:00Z
INC-0021,People & Culture,Business application,Low,In Progress,2026-09-12T18:32:34Z,,2026-09-12,72,29.4572,,On track,1,2026-09-14T00:00:00Z
INC-0022,People & Culture,Device,Medium,In Progress,2026-09-11T17:37:06Z,,2026-09-11,24,54.3817,,Overdue,1,2026-09-14T00:00:00Z
INC-0023,Operations,Device,Low,Open,2026-09-08T20:20:16Z,,2026-09-08,72,123.6622,,Overdue,1,2026-09-14T00:00:00Z
INC-0024,Sales,Network,Medium,Resolved,2026-09-05T13:19:22Z,2026-09-06T08:12:46Z,2026-09-05,24,18.89,18.89,Met,0,2026-09-14T00:00:00Z
INC-0025,Finance,Network,Medium,Resolved,2026-09-10T05:09:50Z,2026-09-11T11:45:50Z,2026-09-10,24,30.6,30.6,Breached,0,2026-09-14T00:00:00Z
INC-0026,Finance,Network,Medium,Resolved,2026-08-27T16:34:20Z,2026-08-29T06:38:32Z,2026-08-27,24,38.07,38.07,Breached,0,2026-09-14T00:00:00Z
INC-0027,People & Culture,Access,Low,Open,2026-09-12T05:40:23Z,,2026-09-12,72,42.3269,,On track,1,2026-09-14T00:00:00Z
INC-0028,Operations,Device,High,Resolved,2026-08-24T16:15:29Z,2026-08-25T00:40:05Z,2026-08-24,8,8.41,8.41,Breached,0,2026-09-14T00:00:00Z
INC-0029,Sales,Network,Medium,Resolved,2026-08-24T12:00:30Z,2026-08-25T08:13:42Z,2026-08-24,24,20.22,20.22,Met,0,2026-09-14T00:00:00Z
INC-0030,People & Culture,Device,Medium,Open,2026-09-12T08:17:52Z,,2026-09-12,24,39.7022,,Overdue,1,2026-09-14T00:00:00Z
INC-0031,Sales,Device,Low,Resolved,2026-08-25T11:31:42Z,2026-08-28T05:39:30Z,2026-08-25,72,66.13,66.13,Met,0,2026-09-14T00:00:00Z
INC-0032,ICT,Device,Medium,Resolved,2026-09-01T03:20:50Z,2026-09-02T06:41:50Z,2026-09-01,24,27.35,27.35,Breached,0,2026-09-14T00:00:00Z
INC-0033,Sales,Access,Medium,Resolved,2026-09-06T23:18:26Z,2026-09-08T00:11:14Z,2026-09-06,24,24.88,24.88,Breached,0,2026-09-14T00:00:00Z
INC-0034,People & Culture,Access,High,In Progress,2026-09-13T17:29:22Z,,2026-09-13,8,6.5106,,At risk,1,2026-09-14T00:00:00Z
INC-0035,People & Culture,Reporting,Low,Resolved,2026-08-29T20:37:51Z,2026-09-02T14:48:39Z,2026-08-29,72,90.18,90.18,Breached,0,2026-09-14T00:00:00Z
INC-0036,Finance,Reporting,Medium,Resolved,2026-09-03T00:18:46Z,2026-09-04T19:11:34Z,2026-09-03,24,42.88,42.88,Breached,0,2026-09-14T00:00:00Z
INC-0037,Finance,Reporting,Medium,Resolved,2026-09-11T21:23:29Z,2026-09-12T03:48:05Z,2026-09-11,24,6.41,6.41,Met,0,2026-09-14T00:00:00Z
INC-0038,Sales,Network,Medium,Open,2026-09-12T22:16:30Z,,2026-09-12,24,25.725,,Overdue,1,2026-09-14T00:00:00Z
INC-0039,People & Culture,Access,Low,Resolved,2026-09-03T19:22:49Z,2026-09-08T17:40:49Z,2026-09-03,72,118.3,118.3,Breached,0,2026-09-14T00:00:00Z
INC-0040,Operations,Access,Low,In Progress,2026-09-08T06:32:32Z,,2026-09-08,72,137.4578,,Overdue,1,2026-09-14T00:00:00Z
INC-0041,ICT,Device,Medium,Resolved,2026-08-22T02:38:46Z,2026-08-23T02:12:22Z,2026-08-22,24,23.56,23.56,Met,0,2026-09-14T00:00:00Z
INC-0042,ICT,Device,Low,Resolved,2026-08-29T21:42:03Z,2026-08-30T21:20:27Z,2026-08-29,72,23.64,23.64,Met,0,2026-09-14T00:00:00Z
INC-0043,People & Culture,Network,Medium,In Progress,2026-09-12T06:20:37Z,,2026-09-12,24,41.6564,,Overdue,1,2026-09-14T00:00:00Z
INC-0044,Sales,Access,Critical,Open,2026-09-13T17:57:19Z,,2026-09-13,4,6.0447,,Overdue,1,2026-09-14T00:00:00Z
INC-0045,People & Culture,Network,Low,In Progress,2026-09-08T22:23:44Z,,2026-09-08,72,121.6044,,Overdue,1,2026-09-14T00:00:00Z
INC-0046,ICT,Network,Medium,Resolved,2026-08-29T08:06:56Z,2026-08-29T23:45:20Z,2026-08-29,24,15.64,15.64,Met,0,2026-09-14T00:00:00Z
INC-0047,People & Culture,Reporting,Critical,Open,2026-09-13T20:53:10Z,,2026-09-13,4,3.1139,,On track,1,2026-09-14T00:00:00Z
INC-0048,Sales,Access,Low,Open,2026-09-11T03:43:57Z,,2026-09-11,72,68.2675,,At risk,1,2026-09-14T00:00:00Z
INC-0049,Finance,Reporting,High,Open,2026-09-13T13:53:12Z,,2026-09-13,8,10.1133,,Overdue,1,2026-09-14T00:00:00Z
